year,entidad,distrito,edo_dto,pp_gubernatura,PAN,PRI,PRD,PT,PVEM,MC,MORENA,f_rae,nep,volatilidad,,,
2024,ags,1,ags1,pan,35.24%,6.70%,2.54%,6.14%,0.00%,9.35%,38.47%,0.71,3.4,0.3,,,
2024,ags,2,ags2,pan,35.46%,4.16%,5.83%,10.83%,1.81%,3.35%,36.41%,0.72,3.6,0.21,,,
2024,ags,3,ags3,pan,23.63%,20.86%,10.35%,4.91%,13.58%,0.00%,0.00%,0.87,7.6,0.23,,,
2024,ags,4,ags4,pan,25.95%,22.69%,1.96%,1.70%,2.63%,7.17%,36.13%,0.74,3.9,0.16,,,
2024,ags,5,ags5,pan,43.55%,4.45%,2.10%,2.31%,3.79%,9.02%,32.54%,0.69,3.2,0.15,,,
2024,ags,6,ags6,pan,64.50%,5.30%,1.09%,0.86%,2.20%,6.00%,17.77%,0.55,2.2,0.18,,,
2024,ags,7,ags7,pan,54.40%,6.27%,2.12%,1.35%,2.91%,7.85%,22.69%,0.64,2.8,0.24,,,
2024,ags,8,ags8,pan,48.56%,4.81%,2.18%,2.39%,4.45%,5.13%,30.69%,0.66,3,0.23,,,
2024,ags,9,ags9,pan,47.31%,5.58%,1.57%,1.67%,2.72%,8.86%,29.88%,0.67,3.1,0.23,,,
2024,ags,10,ags10,pan,55.21%,5.62%,1.75%,1.47%,3.42%,6.11%,24.11%,0.63,2.7,0.17,,,
2024,ags,11,ags11,pan,50.05%,5.71%,1.84%,1.46%,2.65%,7.07%,28.88%,0.66,2.9,0.19,,,
2024,ags,12,ags12,pan,34.50%,5.21%,3.83%,2.02%,3.51%,7.92%,40.86%,0.7,3.4,0.27,,,
2024,ags,13,ags13,pan,40.94%,4.99%,3.18%,2.13%,4.04%,8.08%,34.37%,0.7,3.4,0.19,,,
2024,ags,14,ags14,pan,47.83%,4.78%,2.21%,1.35%,3.39%,11.30%,26.95%,0.68,3.1,0.23,,,6630
2024,ags,15,ags15,pan,40.74%,4.94%,3.41%,1.91%,3.13%,7.96%,35.80%,0.69,3.3,0.24,,,
2024,ags,16,ags16,pan,35.72%,4.34%,6.42%,2.09%,4.05%,8.09%,37.11%,0.72,3.6,0.23,,,
2024,ags,17,ags17,pan,52.28%,5.11%,1.98%,1.37%,2.67%,6.58%,27.77%,0.64,2.8,0.18,,,
2024,ags,18,ags18,pan,40.80%,4.85%,1.96%,1.93%,3.40%,9.11%,35.89%,0.69,3.2,0.21,,,
2018,ags,1,ags1,pan,26.70%,22.71%,1.45%,7.24%,5.88%,3.21%,17.89%,0.82,5.6,,,,
2018,ags,2,ags2,pan,21.13%,18.44%,4.13%,4.19%,2.05%,1.85%,39.19%,0.76,4.2,,,,
2018,ags,3,ags3,pan,16.10%,19.54%,17.41%,2.55%,10.67%,1.50%,23.10%,0.84,6.1,,,,
2018,ags,4,ags4,pan,30.61%,27.57%,1.57%,1.98%,6.35%,1.49%,23.89%,0.77,4.3,,,,
2018,ags,5,ags5,pan,34.56%,15.50%,1.49%,2.68%,4.97%,2.48%,30.95%,0.75,4.1,,,,
2018,ags,6,ags6,pan,47.27%,17.99%,0.81%,1.48%,2.58%,1.60%,17.32%,0.71,3.4,,,,
2018,ags,7,ags7,pan,40.19%,22.22%,1.16%,2.13%,3.90%,1.02%,14.90%,0.76,4.1,,,,
2018,ags,8,ags8,pan,39.78%,20.45%,2.35%,5.70%,3.14%,1.41%,17.64%,0.76,4.1,,,,
2018,ags,9,ags9,pan,34.39%,22.11%,1.58%,3.09%,5.68%,2.15%,24.06%,0.77,4.3,,,,
2018,ags,10,ags10,pan,41.65%,19.00%,1.50%,2.31%,4.17%,2.16%,23.00%,0.73,3.7,,,,
2018,ags,11,ags11,pan,38.39%,19.64%,1.23%,2.33%,4.61%,2.01%,25.13%,0.75,3.9,,,,
2018,ags,12,ags12,pan,22.26%,27.54%,1.64%,3.10%,4.62%,3.29%,30.45%,0.78,4.5,,,,
2018,ags,13,ags13,pan,31.96%,20.63%,1.40%,2.53%,3.88%,2.44%,28.53%,0.77,4.3,,,,
2018,ags,14,ags14,pan,31.34%,22.10%,1.40%,2.36%,3.64%,2.04%,27.58%,0.77,4.4,,,,
